Chapter,Chapter Length,Number of Periods
1,23445,189
2,23785,188
3,22414,231
4,27272,195
5,25438,255
6,15639,140
7,15522,131
8,24174,214
9,36364,337
10,21196,185
11,24745,193
12,42549,429
13,20208,175
14,19623,180
15,18785,181
16,16688,172
17,15129,155
18,18651,144
19,18538,121
20,15327,145
21,25550,269
22,14849,120
23,24889,247
24,25976,182
25,14455,91
26,23267,150
27,16781,109
28,33147,271
29,28239,233
30,25899,218
31,22180,178
32,25058,224
33,27580,232
34,34587,257
35,23014,201
36,12245,100
37,25171,157
38,27986,206
39,29715,263
40,12335,61
41,28098,187
42,17882,118
43,35648,305
44,11106,95
45,13462,96
46,29623,234
47,43852,392
